filename,title,year,category,structure,network_or_method,relevance_to_innovation_one,url,status,notes
2022_reducing_cost_ml_differential_attacks_bit_selection.pdf,Reducing the Cost of Machine Learning Differential Attacks Using Bit Selection and a Partial ML-Distinguisher,2022,Cost and input selection,ARX/SPECK,Bit selection and partial ML distinguisher,Supports data/feature cost metrics for architecture matching,https://eprint.iacr.org/2021/1479.pdf,downloaded,High priority for efficient protocol.
2023_cipher_agnostic_neural_training_pipeline.pdf,A Cipher-Agnostic Neural Training Pipeline with Automated Finding of Good Input Differences,2023,Generic pipeline/DBitNet,Multiple structures,DBitNet and automated input-difference search,Boundary paper: we must compare against generic pipeline rather than claim first generic system,https://eprint.iacr.org/2022/1467.pdf,downloaded,Core first-read paper.
2023_nnbits_bit_profiling_deep_learning_ensemble.pdf,NNBits: Bit Profiling with a Deep Learning Ensemble Based Distinguisher,2023,Interpretability and profiling,Multiple including SPECK/AES dataset,Ensemble bit profiling,Supports bit-level explanation and comparison with statistical tests,https://eprint.iacr.org/2023/819.pdf,downloaded,Use for interpretability extension.
2023_yu_wu_zhang_sm4_conv_resnet_analysis.pdf,基于卷积残差网络的SM4算法分析,2023,SM4 neural cryptanalysis,Feistel-like SM4,Convolutional residual network,Direct SM4 + ResNet local source for thesis context,https://xb.guet.edu.cn/cn/article/pdf/preview/03208c73-2f73-4edd-a812-54e50b4f759a.pdf,downloaded,Very relevant local-domain Chinese source.
2024_sok_neural_differential_cryptanalysis.pdf,Survey: 6 Years of Neural Differential Cryptanalysis,2024,Survey,Multiple structures,Survey and taxonomy,Frames comparability/scaling gap that innovation one addresses,https://eprint.iacr.org/2024/1300.pdf,downloaded,Core first-read paper.
2024_theoretical_explanation_improvement_deep_learning_distinguisher.pdf,On the Explanation and Enhancement of Neural-inspired Differential Cryptanalysis,2024,Theory/explanation,Symmetric ciphers,Theoretical explanation and enhancement,Supports explainability and improved feature rationale,https://eprint.iacr.org/2024/322.pdf,downloaded,Read after core set.
2025_li_sun_key_recovery_friendly_sm4_differential_distinguishers.pdf,Exploring Key-Recovery-Friendly Differential Distinguishers for SM4 and Their Performance in Differential Attacks,2025,SM4 differential background,Feistel-like SM4,Differential distinguisher/key recovery,Non-neural but important SM4 structural/differential baseline,https://eprint.iacr.org/2025/714.pdf,downloaded,Use for SM4 cryptanalytic context.
2026_liu_spn_iot_friendly_neural_distinguisher_framework.pdf,A Highly Efficient Neural Distinguisher Framework for IoT-Friendly Lightweight SPN Block Ciphers,2026,SPN neural framework,SPN lightweight block ciphers,Training-data format and neural-network structure optimization,Directly supports SPN-specific architecture/data-format matching,https://www.jstage.jst.go.jp/article/transinf/E109.D/2/E109.D_2025EDP7070/_pdf/-char/en,downloaded,Very high priority for innovation one.
2024_two_difference_related_key_nd.pdf,A New (Related-Key) Neural Distinguisher Using Two Differences for Differential Cryptanalysis,2024,Recent multi-difference RKND,Related-key / multiple differences,Two-difference neural distinguisher,Important boundary for multi-difference data generation and difference-profile schema,https://doi.org/10.1049/2024/4097586,downloaded,PDF supplied locally and text extracted.
2024_enhanced_related_key_simon_simeck.pdf,Enhanced related-key differential neural distinguishers for SIMON and SIMECK block ciphers,2024,Recent related-key ND,AND-RX / SIMON / SIMECK,Enhanced data format and related-key neural distinguishers,Important for missing AND-RX branch and related-key setting,https://peerj.com/articles/cs-2566.pdf,downloaded,PDF supplied locally and text extracted.
2024_gift_ascon_score_distribution_mlp.pdf,Neural differential distinguishers for GIFT-128 and ASCON,2024,Recent score-distribution ND,SPN / permutation,Score distribution plus MLP test,Important for SPN/permutation branch and pair-level versus distribution-level distinction,https://doi.org/10.1016/j.jisa.2024.103758,downloaded,PDF supplied locally and text extracted.
2025_speck_simon_multi_pair_multiscale.pdf,Improving deep learning-based neural distinguisher with multiple ciphertext pairs for Speck and Simon,2025,Recent multi-pair architecture,ARX / AND-RX,Multi-scale convolutional block and dense residual connections,Important baseline for multi-pair input and stronger CNN-like models,https://doi.org/10.1038/s41598-025-98251-1,downloaded,PDF downloaded from Scientific Reports and text extracted.
2025_gpd_feature_engineering_nd.pdf,Generic Partial Decryption as Feature Engineering for Neural Distinguishers,2025,Recent generic feature engineering,Generic / SIMON / SIMECK / ARADI,Generic partial decryption features,Strong evidence that structure-aware features matter beyond cipher-agnostic DBitNet,https://eprint.iacr.org/2025/1443,downloaded,ePrint 2025/1443 PDF downloaded and text extracted.
2025_rx_neural_simon_simeck.pdf,Enhancing Deep Learning-Based Rotational-XOR Attacks on Lightweight Block Ciphers Simon32/64 and Simeck32/64,2025,Recent RX-neural cryptanalysis,AND-RX / SIMON / SIMECK,Rotational-XOR neural distinguisher,Important for difference_kind schema beyond XOR differences,https://arxiv.org/abs/2511.06336,downloaded,arXiv PDF downloaded and text extracted; verify relation to SAC RX-neural work during reading.
2026_polytopic_pdnd_simon_simeck_speck.pdf,Improved polytopic differential neural distinguishers for SIMON SIMECK and SPECK block ciphers,2026,Recent polytopic ND,ARX / AND-RX,Multiple-input polytopic differential neural distinguishers,Important for polytope_size and multi-input data generation,https://doi.org/10.1186/s42400-025-00472-4,downloaded,Open access Cybersecurity PDF downloaded and text extracted.
2026_present_entropy_nd.pdf,Key recovery attack on PRESENT using an entropy-based neural distinguisher,2026,Recent PRESENT key recovery,SPN / PRESENT,Entropy-based neural distinguisher,Useful related work for PRESENT branch and attack-level extension,https://doi.org/10.1007/s00521-026-11973-9,downloaded,Springer PDF downloaded and text extracted.
